"Notes"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Year"	"Year Code"	"Abnormal Conditions Checked"	"Abnormal Conditions Checked Code"	Births
	"0 prenatal visits"	"0"	"2018"	"2018"	"At least one checked"	"0"	14478
	"0 prenatal visits"	"0"	"2019"	"2019"	"At least one checked"	"0"	15079
	"0 prenatal visits"	"0"	"2020"	"2020"	"At least one checked"	"0"	15151
	"0 prenatal visits"	"0"	"2021"	"2021"	"At least one checked"	"0"	17171
	"1 prenatal visits"	"1"	"2018"	"2018"	"At least one checked"	"0"	3747
	"1 prenatal visits"	"1"	"2019"	"2019"	"At least one checked"	"0"	4038
	"1 prenatal visits"	"1"	"2020"	"2020"	"At least one checked"	"0"	4263
	"1 prenatal visits"	"1"	"2021"	"2021"	"At least one checked"	"0"	4374
	"2 prenatal visits"	"2"	"2018"	"2018"	"At least one checked"	"0"	5741
	"2 prenatal visits"	"2"	"2019"	"2019"	"At least one checked"	"0"	5934
	"2 prenatal visits"	"2"	"2020"	"2020"	"At least one checked"	"0"	6049
	"2 prenatal visits"	"2"	"2021"	"2021"	"At least one checked"	"0"	6503
	"3 prenatal visits"	"3"	"2018"	"2018"	"At least one checked"	"0"	8092
	"3 prenatal visits"	"3"	"2019"	"2019"	"At least one checked"	"0"	8111
	"3 prenatal visits"	"3"	"2020"	"2020"	"At least one checked"	"0"	8284
	"3 prenatal visits"	"3"	"2021"	"2021"	"At least one checked"	"0"	8311
	"4 prenatal visits"	"4"	"2018"	"2018"	"At least one checked"	"0"	11141
	"4 prenatal visits"	"4"	"2019"	"2019"	"At least one checked"	"0"	11314
	"4 prenatal visits"	"4"	"2020"	"2020"	"At least one checked"	"0"	11604
	"4 prenatal visits"	"4"	"2021"	"2021"	"At least one checked"	"0"	11717
	"5 prenatal visits"	"5"	"2018"	"2018"	"At least one checked"	"0"	16071
	"5 prenatal visits"	"5"	"2019"	"2019"	"At least one checked"	"0"	15822
	"5 prenatal visits"	"5"	"2020"	"2020"	"At least one checked"	"0"	16932
	"5 prenatal visits"	"5"	"2021"	"2021"	"At least one checked"	"0"	17144
	"6 prenatal visits"	"6"	"2018"	"2018"	"At least one checked"	"0"	20372
	"6 prenatal visits"	"6"	"2019"	"2019"	"At least one checked"	"0"	20534
	"6 prenatal visits"	"6"	"2020"	"2020"	"At least one checked"	"0"	21415
	"6 prenatal visits"	"6"	"2021"	"2021"	"At least one checked"	"0"	22225
	"7 prenatal visits"	"7"	"2018"	"2018"	"At least one checked"	"0"	22258
	"7 prenatal visits"	"7"	"2019"	"2019"	"At least one checked"	"0"	22970
	"7 prenatal visits"	"7"	"2020"	"2020"	"At least one checked"	"0"	24382
	"7 prenatal visits"	"7"	"2021"	"2021"	"At least one checked"	"0"	24763
	"8 prenatal visits"	"8"	"2018"	"2018"	"At least one checked"	"0"	30760
	"8 prenatal visits"	"8"	"2019"	"2019"	"At least one checked"	"0"	30717
	"8 prenatal visits"	"8"	"2020"	"2020"	"At least one checked"	"0"	32414
	"8 prenatal visits"	"8"	"2021"	"2021"	"At least one checked"	"0"	34304
	"9 prenatal visits"	"9"	"2018"	"2018"	"At least one checked"	"0"	28691
	"9 prenatal visits"	"9"	"2019"	"2019"	"At least one checked"	"0"	29444
	"9 prenatal visits"	"9"	"2020"	"2020"	"At least one checked"	"0"	30665
	"9 prenatal visits"	"9"	"2021"	"2021"	"At least one checked"	"0"	32201
	"10 prenatal visits"	"10"	"2018"	"2018"	"At least one checked"	"0"	50288
	"10 prenatal visits"	"10"	"2019"	"2019"	"At least one checked"	"0"	50439
	"10 prenatal visits"	"10"	"2020"	"2020"	"At least one checked"	"0"	50567
	"10 prenatal visits"	"10"	"2021"	"2021"	"At least one checked"	"0"	53000
	"11 prenatal visits"	"11"	"2018"	"2018"	"At least one checked"	"0"	31421
	"11 prenatal visits"	"11"	"2019"	"2019"	"At least one checked"	"0"	32802
	"11 prenatal visits"	"11"	"2020"	"2020"	"At least one checked"	"0"	32695
	"11 prenatal visits"	"11"	"2021"	"2021"	"At least one checked"	"0"	35651
	"12 prenatal visits"	"12"	"2018"	"2018"	"At least one checked"	"0"	47388
	"12 prenatal visits"	"12"	"2019"	"2019"	"At least one checked"	"0"	47881
	"12 prenatal visits"	"12"	"2020"	"2020"	"At least one checked"	"0"	44867
	"12 prenatal visits"	"12"	"2021"	"2021"	"At least one checked"	"0"	46624
	"13 prenatal visits"	"13"	"2018"	"2018"	"At least one checked"	"0"	27888
	"13 prenatal visits"	"13"	"2019"	"2019"	"At least one checked"	"0"	28002
	"13 prenatal visits"	"13"	"2020"	"2020"	"At least one checked"	"0"	25133
	"13 prenatal visits"	"13"	"2021"	"2021"	"At least one checked"	"0"	27321
	"14 prenatal visits"	"14"	"2018"	"2018"	"At least one checked"	"0"	23606
	"14 prenatal visits"	"14"	"2019"	"2019"	"At least one checked"	"0"	24012
	"14 prenatal visits"	"14"	"2020"	"2020"	"At least one checked"	"0"	21288
	"14 prenatal visits"	"14"	"2021"	"2021"	"At least one checked"	"0"	22446
	"15 prenatal visits"	"15"	"2018"	"2018"	"At least one checked"	"0"	20962
	"15 prenatal visits"	"15"	"2019"	"2019"	"At least one checked"	"0"	20791
	"15 prenatal visits"	"15"	"2020"	"2020"	"At least one checked"	"0"	17504
	"15 prenatal visits"	"15"	"2021"	"2021"	"At least one checked"	"0"	18073
	"16 prenatal visits"	"16"	"2018"	"2018"	"At least one checked"	"0"	10754
	"16 prenatal visits"	"16"	"2019"	"2019"	"At least one checked"	"0"	11171
	"16 prenatal visits"	"16"	"2020"	"2020"	"At least one checked"	"0"	9825
	"16 prenatal visits"	"16"	"2021"	"2021"	"At least one checked"	"0"	9701
	"17 prenatal visits"	"17"	"2018"	"2018"	"At least one checked"	"0"	6027
	"17 prenatal visits"	"17"	"2019"	"2019"	"At least one checked"	"0"	6175
	"17 prenatal visits"	"17"	"2020"	"2020"	"At least one checked"	"0"	5309
	"17 prenatal visits"	"17"	"2021"	"2021"	"At least one checked"	"0"	5552
