"Notes"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Year"	"Year Code"	"Abnormal Conditions Checked"	"Abnormal Conditions Checked Code"	Births
	"0 prenatal visits"	"0"	"2018"	"2018"	"At least one checked"	"0"	14478
	"0 prenatal visits"	"0"	"2018"	"2018"	"None checked"	"1"	48980
	"0 prenatal visits"	"0"	"2019"	"2019"	"At least one checked"	"0"	15079
	"0 prenatal visits"	"0"	"2019"	"2019"	"None checked"	"1"	52584
	"0 prenatal visits"	"0"	"2020"	"2020"	"At least one checked"	"0"	15151
	"0 prenatal visits"	"0"	"2020"	"2020"	"None checked"	"1"	52499
	"0 prenatal visits"	"0"	"2021"	"2021"	"At least one checked"	"0"	17171
	"0 prenatal visits"	"0"	"2021"	"2021"	"None checked"	"1"	56989
	"1 prenatal visits"	"1"	"2018"	"2018"	"At least one checked"	"0"	3747
	"1 prenatal visits"	"1"	"2018"	"2018"	"None checked"	"1"	12946
	"1 prenatal visits"	"1"	"2019"	"2019"	"At least one checked"	"0"	4038
	"1 prenatal visits"	"1"	"2019"	"2019"	"None checked"	"1"	14390
	"1 prenatal visits"	"1"	"2020"	"2020"	"At least one checked"	"0"	4263
	"1 prenatal visits"	"1"	"2020"	"2020"	"None checked"	"1"	15900
	"1 prenatal visits"	"1"	"2021"	"2021"	"At least one checked"	"0"	4374
	"1 prenatal visits"	"1"	"2021"	"2021"	"None checked"	"1"	16012
	"2 prenatal visits"	"2"	"2018"	"2018"	"At least one checked"	"0"	5741
	"2 prenatal visits"	"2"	"2018"	"2018"	"None checked"	"1"	22271
	"2 prenatal visits"	"2"	"2019"	"2019"	"At least one checked"	"0"	5934
	"2 prenatal visits"	"2"	"2019"	"2019"	"None checked"	"1"	22341
	"2 prenatal visits"	"2"	"2020"	"2020"	"At least one checked"	"0"	6049
	"2 prenatal visits"	"2"	"2020"	"2020"	"None checked"	"1"	23377
	"2 prenatal visits"	"2"	"2021"	"2021"	"At least one checked"	"0"	6503
	"2 prenatal visits"	"2"	"2021"	"2021"	"None checked"	"1"	27548
	"3 prenatal visits"	"3"	"2018"	"2018"	"At least one checked"	"0"	8092
	"3 prenatal visits"	"3"	"2018"	"2018"	"None checked"	"1"	31593
	"3 prenatal visits"	"3"	"2019"	"2019"	"At least one checked"	"0"	8111
	"3 prenatal visits"	"3"	"2019"	"2019"	"None checked"	"1"	31346
	"3 prenatal visits"	"3"	"2020"	"2020"	"At least one checked"	"0"	8284
	"3 prenatal visits"	"3"	"2020"	"2020"	"None checked"	"1"	30096
	"3 prenatal visits"	"3"	"2021"	"2021"	"At least one checked"	"0"	8311
	"3 prenatal visits"	"3"	"2021"	"2021"	"None checked"	"1"	28995
	"4 prenatal visits"	"4"	"2018"	"2018"	"At least one checked"	"0"	11141
	"4 prenatal visits"	"4"	"2018"	"2018"	"None checked"	"1"	43770
	"4 prenatal visits"	"4"	"2019"	"2019"	"At least one checked"	"0"	11314
	"4 prenatal visits"	"4"	"2019"	"2019"	"None checked"	"1"	43344
	"4 prenatal visits"	"4"	"2020"	"2020"	"At least one checked"	"0"	11604
	"4 prenatal visits"	"4"	"2020"	"2020"	"None checked"	"1"	44084
	"4 prenatal visits"	"4"	"2021"	"2021"	"At least one checked"	"0"	11717
	"4 prenatal visits"	"4"	"2021"	"2021"	"None checked"	"1"	41452
	"5 prenatal visits"	"5"	"2018"	"2018"	"At least one checked"	"0"	16071
	"5 prenatal visits"	"5"	"2018"	"2018"	"None checked"	"1"	61993
	"5 prenatal visits"	"5"	"2019"	"2019"	"At least one checked"	"0"	15822
	"5 prenatal visits"	"5"	"2019"	"2019"	"None checked"	"1"	60305
	"5 prenatal visits"	"5"	"2020"	"2020"	"At least one checked"	"0"	16932
	"5 prenatal visits"	"5"	"2020"	"2020"	"None checked"	"1"	64076
	"5 prenatal visits"	"5"	"2021"	"2021"	"At least one checked"	"0"	17144
	"5 prenatal visits"	"5"	"2021"	"2021"	"None checked"	"1"	61451
	"6 prenatal visits"	"6"	"2018"	"2018"	"At least one checked"	"0"	20372
	"6 prenatal visits"	"6"	"2018"	"2018"	"None checked"	"1"	84839
	"6 prenatal visits"	"6"	"2019"	"2019"	"At least one checked"	"0"	20534
	"6 prenatal visits"	"6"	"2019"	"2019"	"None checked"	"1"	81434
	"6 prenatal visits"	"6"	"2020"	"2020"	"At least one checked"	"0"	21415
	"6 prenatal visits"	"6"	"2020"	"2020"	"None checked"	"1"	91762
	"6 prenatal visits"	"6"	"2021"	"2021"	"At least one checked"	"0"	22225
	"6 prenatal visits"	"6"	"2021"	"2021"	"None checked"	"1"	87450
	"7 prenatal visits"	"7"	"2018"	"2018"	"At least one checked"	"0"	22258
	"7 prenatal visits"	"7"	"2018"	"2018"	"None checked"	"1"	108122
	"7 prenatal visits"	"7"	"2019"	"2019"	"At least one checked"	"0"	22970
	"7 prenatal visits"	"7"	"2019"	"2019"	"None checked"	"1"	105444
	"7 prenatal visits"	"7"	"2020"	"2020"	"At least one checked"	"0"	24382
	"7 prenatal visits"	"7"	"2020"	"2020"	"None checked"	"1"	121208
	"7 prenatal visits"	"7"	"2021"	"2021"	"At least one checked"	"0"	24763
	"7 prenatal visits"	"7"	"2021"	"2021"	"None checked"	"1"	117131
	"8 prenatal visits"	"8"	"2018"	"2018"	"At least one checked"	"0"	30760
	"8 prenatal visits"	"8"	"2018"	"2018"	"None checked"	"1"	175660
	"8 prenatal visits"	"8"	"2019"	"2019"	"At least one checked"	"0"	30717
	"8 prenatal visits"	"8"	"2019"	"2019"	"None checked"	"1"	170518
	"8 prenatal visits"	"8"	"2020"	"2020"	"At least one checked"	"0"	32414
	"8 prenatal visits"	"8"	"2020"	"2020"	"None checked"	"1"	192710
	"8 prenatal visits"	"8"	"2021"	"2021"	"At least one checked"	"0"	34304
	"8 prenatal visits"	"8"	"2021"	"2021"	"None checked"	"1"	191090
	"9 prenatal visits"	"9"	"2018"	"2018"	"At least one checked"	"0"	28691
	"9 prenatal visits"	"9"	"2018"	"2018"	"None checked"	"1"	216336
	"9 prenatal visits"	"9"	"2019"	"2019"	"At least one checked"	"0"	29444
	"9 prenatal visits"	"9"	"2019"	"2019"	"None checked"	"1"	211717
	"9 prenatal visits"	"9"	"2020"	"2020"	"At least one checked"	"0"	30665
	"9 prenatal visits"	"9"	"2020"	"2020"	"None checked"	"1"	230241
	"9 prenatal visits"	"9"	"2021"	"2021"	"At least one checked"	"0"	32201
	"9 prenatal visits"	"9"	"2021"	"2021"	"None checked"	"1"	230915
	"10 prenatal visits"	"10"	"2018"	"2018"	"At least one checked"	"0"	50288
	"10 prenatal visits"	"10"	"2018"	"2018"	"None checked"	"1"	444853
	"10 prenatal visits"	"10"	"2019"	"2019"	"At least one checked"	"0"	50439
	"10 prenatal visits"	"10"	"2019"	"2019"	"None checked"	"1"	430889
	"10 prenatal visits"	"10"	"2020"	"2020"	"At least one checked"	"0"	50567
	"10 prenatal visits"	"10"	"2020"	"2020"	"None checked"	"1"	441119
	"10 prenatal visits"	"10"	"2021"	"2021"	"At least one checked"	"0"	53000
	"10 prenatal visits"	"10"	"2021"	"2021"	"None checked"	"1"	447700
