Notes,Year,Year Code,Deaths,Population,Crude Rate
,2018,2018,94,327167434,0
,2019,2019,106,328239523,0
,2020,2020,86,329484123,0
,2021,2021,81,331893745,0
Total,,,367,1316784825,0
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,
Query Parameters:,,,,,
ICD-10 Codes: O15.2 (Eclampsia in the puerperium); O85-O92 (Complications predominantly related to the puerperium); O95,,,,,
(Obstetric death of unspecified cause),,,,,
Group By: Year,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: False,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Mar 15, 2023 5:11:44 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 15, 2023 5:11:44 AM",,,,,
---,,,,,
Caveats:,,,,,
"1. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021",,,,,
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates",,,,,
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The",,,,,
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal",,,,,
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019.",,,,,
2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,
Group.,,,,,
"3. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,,,
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,,,
in information available to individual states and probable errors. Caution should be used in interpreting these data. More,,,,,
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.,,,,,
4. Changes to cause of death classification affect reporting trends. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes.,,,,,
