Notes,Single Race 6,Single Race 6 Code,Hispanic Origin,Hispanic Origin Code,Year,Year Code,Deaths,Population,Crude Rate
,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,2019,2019,14,2434908,Unreliable
,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,2020,2020,13,2432338,Unreliable
,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,2021,2021,31,2451916,1.3
,Asian,A,Not Hispanic or Latino,2186-2,2018,2018,32,18728675,0.2
,Asian,A,Not Hispanic or Latino,2186-2,2019,2019,33,18905879,0.2
,Asian,A,Not Hispanic or Latino,2186-2,2020,2020,27,19367197,0.1
,Asian,A,Not Hispanic or Latino,2186-2,2021,2021,36,19685901,0.2
,Black or African American,2054-5,Hispanic or Latino,2135-2,2021,2021,10,3202321,Unreliable
,Black or African American,2054-5,Not Hispanic or Latino,2186-2,2018,2018,206,40902223,0.5
,Black or African American,2054-5,Not Hispanic or Latino,2186-2,2019,2019,241,41147488,0.6
,Black or African American,2054-5,Not Hispanic or Latino,2186-2,2020,2020,293,41427341,0.7
,Black or African American,2054-5,Not Hispanic or Latino,2186-2,2021,2021,362,41858536,0.9
,White,2106-3,Hispanic or Latino,2135-2,2018,2018,101,52592689,0.2
,White,2106-3,Hispanic or Latino,2135-2,2019,2019,101,53212368,0.2
,White,2106-3,Hispanic or Latino,2135-2,2020,2020,145,53536334,0.3
,White,2106-3,Hispanic or Latino,2135-2,2021,2021,232,54628180,0.4
,White,2106-3,Not Hispanic or Latino,2186-2,2018,2018,291,197546407,0.1
,White,2106-3,Not Hispanic or Latino,2186-2,2019,2019,343,197309822,0.2
,White,2106-3,Not Hispanic or Latino,2186-2,2020,2020,352,196773390,0.2
,White,2106-3,Not Hispanic or Latino,2186-2,2021,2021,503,196833431,0.3
,More than one race,M,Not Hispanic or Latino,2186-2,2018,2018,10,7114666,Unreliable
,More than one race,M,Not Hispanic or Latino,2186-2,2020,2020,14,7557471,Unreliable
,More than one race,M,Not Hispanic or Latino,2186-2,2021,2021,19,7790671,Unreliable
---,,,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,,,,,
Query Parameters:,,,,,,,,,
"ICD-10 Codes: A34 (Obstetrical tetanus); O00-O07 (Pregnancy with abortive outcome); O10-O16 (Oedema, proteinuria and",,,,,,,,,
"hypertensive disorders in pregnancy, childbirth and the puerperium); O20-O29 (Other maternal disorders predominantly related to",,,,,,,,,
pregnancy); O30-O48 (Maternal care related to the fetus and amniotic cavity and possible delivery problems); O60-O75,,,,,,,,,
(Complications of labour and delivery); O85-O92 (Complications predominantly related to the puerperium); O95 (Obstetric death of,,,,,,,,,
"unspecified cause); O98.0 (Tuberculosis complicating pregnancy, childbirth and the puerperium); O98.1 (Syphilis complicating",,,,,,,,,
"pregnancy, childbirth and the puerperium); O98.2 (Gonorrhoea complicating pregnancy, childbirth and the puerperium); O98.3",,,,,,,,,
"(Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium); O98.4",,,,,,,,,
"(Viral hepatitis complicating pregnancy, childbirth and the puerperium); O98.5 (Other viral diseases complicating pregnancy,",,,,,,,,,
"childbirth and the puerperium); O98.6 (Protozoal diseases complicating pregnancy, childbirth and the puerperium); O98.7 (Human",,,,,,,,,
"immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium); O98.8 (Other maternal infectious and",,,,,,,,,
"parasitic diseases complicating pregnancy, childbirth and the puerperium); O98.9 (Unspecified maternal infectious or parasitic",,,,,,,,,
"disease complicating pregnancy, childbirth and the puerperium); O99.0 (Anaemia complicating pregnancy, childbirth and the",,,,,,,,,
puerperium); O99.1 (Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,,,,,,,
"complicating pregnancy, childbirth and the puerperium); O99.2 (Endocrine, nutritional and metabolic diseases complicating",,,,,,,,,
"pregnancy, childbirth and the puerperium); O99.3 (Mental disorders and diseases of the nervous system complicating pregnancy,",,,,,,,,,
"childbirth and the puerperium); O99.4 (Diseases of the circulatory system complicating pregnancy, childbirth and the",,,,,,,,,
"puerperium); O99.5 (Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium); O99.6 (Diseases",,,,,,,,,
"of the digestive system complicating pregnancy, childbirth and the puerperium); O99.7 (Diseases of the skin and subcutaneous",,,,,,,,,
"tissue complicating pregnancy, childbirth and the puerperium); O99.8 (Other specified diseases and conditions complicating",,,,,,,,,
"pregnancy, childbirth and the puerperium)",,,,,,,,,
Group By: Single Race 6; Hispanic Origin; Year,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Mar 11, 2023 1:57:54 AM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,,,,,
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 11, 2023 1:57:54 AM",,,,,,,,,
---,,,,,,,,,
Messages:,,,,,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,,
2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,,,,,,,,
"3. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among",,,,,,,,,
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:",,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,,,,,
4. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the,,,,,,,,,
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis",,,,,,,,,
