Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,2018,2018,21,4887871,0.4
,Alabama,1,2019,2019,21,4903185,0.4
,Alabama,1,2020,2020,21,4921532,0.4
,Alabama,1,2021,2021,33,5039877,0.7
,Arizona,4,2018,2018,18,7171646,Unreliable
,Arizona,4,2019,2019,20,7278717,0.3
,Arizona,4,2020,2020,29,7421401,0.4
,Arizona,4,2021,2021,32,7276316,0.4
,Arkansas,5,2018,2018,17,3013825,Unreliable
,Arkansas,5,2019,2019,12,3017804,Unreliable
,Arkansas,5,2020,2020,15,3030522,Unreliable
,Arkansas,5,2021,2021,19,3025891,Unreliable
,California,6,2018,2018,53,39557045,0.1
,California,6,2019,2019,50,39512223,0.1
,California,6,2020,2020,32,39368078,0.1
,California,6,2021,2021,41,39237836,0.1
,Colorado,8,2019,2019,12,5758736,Unreliable
,Colorado,8,2020,2020,10,5807719,Unreliable
,Colorado,8,2021,2021,11,5812069,Unreliable
,Florida,12,2018,2018,35,21299325,0.2
,Florida,12,2019,2019,59,21477737,0.3
,Florida,12,2020,2020,47,21733312,0.2
,Florida,12,2021,2021,87,21781128,0.4
,Georgia,13,2018,2018,35,10519475,0.3
,Georgia,13,2019,2019,43,10617423,0.4
,Georgia,13,2020,2020,30,10710017,0.3
,Georgia,13,2021,2021,61,10799566,0.6
,Illinois,17,2018,2018,14,12741080,Unreliable
,Illinois,17,2019,2019,14,12671821,Unreliable
,Illinois,17,2020,2020,26,12587530,0.2
,Illinois,17,2021,2021,41,12671469,0.3
,Indiana,18,2018,2018,20,6691878,0.3
,Indiana,18,2019,2019,23,6732219,0.3
,Indiana,18,2020,2020,25,6754953,0.4
,Indiana,18,2021,2021,32,6805985,0.5
,Iowa,19,2021,2021,16,3193079,Unreliable
,Kansas,20,2020,2020,10,2913805,Unreliable
,Kentucky,21,2018,2018,22,4468402,0.5
,Kentucky,21,2019,2019,20,4467673,0.4
,Kentucky,21,2020,2020,21,4477251,0.5
,Kentucky,21,2021,2021,18,4509394,Unreliable
,Louisiana,22,2018,2018,15,4659978,Unreliable
,Louisiana,22,2019,2019,20,4648794,0.4
,Louisiana,22,2020,2020,21,4645318,0.5
,Louisiana,22,2021,2021,35,4624047,0.8
,Maryland,24,2018,2018,10,6042718,Unreliable
,Maryland,24,2019,2019,15,6045680,Unreliable
,Maryland,24,2020,2020,14,6055802,Unreliable
,Maryland,24,2021,2021,20,6165129,0.3
,Massachusetts,25,2018,2018,12,6902149,Unreliable
,Massachusetts,25,2020,2020,12,6893574,Unreliable
,Massachusetts,25,2021,2021,12,6984723,Unreliable
,Michigan,26,2018,2018,18,9995915,Unreliable
,Michigan,26,2019,2019,16,9986857,Unreliable
,Michigan,26,2020,2020,29,9966555,0.3
,Michigan,26,2021,2021,20,10050811,0.2
,Minnesota,27,2021,2021,14,5707390,Unreliable
,Mississippi,28,2019,2019,15,2976149,Unreliable
,Mississippi,28,2020,2020,10,2966786,Unreliable
,Mississippi,28,2021,2021,29,2949965,1
