Underweight <18.5,Yes,22277,
,No,663638,
,Unknown or Not Stated,715,
,Total,686630,3.247778515
Normal 18.5-24.9,Yes,381724,
,No,8822616,
,Unknown or Not Stated,7440,
,Total,9211780,4.147217508
Overweight 25.0-29.9,Yes,407451,
,No,5493909,
,Unknown or Not Stated,4216,
,Total,5905576,6.90435764
Obesity I 30.0-34.9,Yes,337133,
,No,3054068,
,Unknown or Not Stated,2372,
,Total,3393573,9.94140424
Obesity II 35.0-39.9,Yes,211181,
,No,1472978,
,Unknown or Not Stated,1126,
,Total,1685285,12.5392555
Extreme Obesity III > 39.9,Yes,184984,
,No,1028124,
,Unknown or Not Stated,702,
,Total,1213810,15.24876598
Unknown or Not Stated,Yes,31409,
,No,484148,
,Unknown or Not Stated,6355,
,Total,521912,6.092245862
Total,,22618566,
