Notes,State of Residence,State of Residence Code,Year,Year Code,Births
,Alabama,1,2018,2018,57761
,Alabama,1,2019,2019,58615
,Alabama,1,2020,2020,57647
,Alabama,1,2021,2021,58054
Total,Alabama,1,,,232077
,Alaska,2,2018,2018,10086
,Alaska,2,2019,2019,9822
,Alaska,2,2020,2020,9469
,Alaska,2,2021,2021,9367
Total,Alaska,2,,,38744
,Arizona,4,2018,2018,80723
,Arizona,4,2019,2019,79375
,Arizona,4,2020,2020,76947
,Arizona,4,2021,2021,77916
Total,Arizona,4,,,314961
,Arkansas,5,2018,2018,37018
,Arkansas,5,2019,2019,36564
,Arkansas,5,2020,2020,35251
,Arkansas,5,2021,2021,35965
Total,Arkansas,5,,,144798
,California,6,2018,2018,454920
,California,6,2019,2019,446479
,California,6,2020,2020,420259
,California,6,2021,2021,420608
Total,California,6,,,1742266
,Colorado,8,2018,2018,62885
,Colorado,8,2019,2019,62869
,Colorado,8,2020,2020,61494
,Colorado,8,2021,2021,62949
Total,Colorado,8,,,250197
,Connecticut,9,2018,2018,34725
,Connecticut,9,2019,2019,34258
,Connecticut,9,2020,2020,33460
,Connecticut,9,2021,2021,35670
Total,Connecticut,9,,,138113
,Delaware,10,2018,2018,10621
,Delaware,10,2019,2019,10562
,Delaware,10,2020,2020,10392
,Delaware,10,2021,2021,10482
Total,Delaware,10,,,42057
,District of Columbia,11,2018,2018,9212
,District of Columbia,11,2019,2019,9079
,District of Columbia,11,2020,2020,8874
,District of Columbia,11,2021,2021,8660
Total,District of Columbia,11,,,35825
,Florida,12,2018,2018,221542
,Florida,12,2019,2019,220002
,Florida,12,2020,2020,209671
,Florida,12,2021,2021,216260
Total,Florida,12,,,867475
,Georgia,13,2018,2018,126172
,Georgia,13,2019,2019,126371
,Georgia,13,2020,2020,122473
,Georgia,13,2021,2021,124073
Total,Georgia,13,,,499089
,Hawaii,15,2018,2018,16972
,Hawaii,15,2019,2019,16797
,Hawaii,15,2020,2020,15785
,Hawaii,15,2021,2021,15620
Total,Hawaii,15,,,65174
,Idaho,16,2018,2018,21403
,Idaho,16,2019,2019,22063
,Idaho,16,2020,2020,21533
,Idaho,16,2021,2021,22427
Total,Idaho,16,,,87426
,Illinois,17,2018,2018,144815
,Illinois,17,2019,2019,140128
,Illinois,17,2020,2020,133298
,Illinois,17,2021,2021,132189
Total,Illinois,17,,,550430
,Indiana,18,2018,2018,81646
,Indiana,18,2019,2019,80859
,Indiana,18,2020,2020,78616
,Indiana,18,2021,2021,79946
Total,Indiana,18,,,321067
,Iowa,19,2018,2018,37785
,Iowa,19,2019,2019,37649
,Iowa,19,2020,2020,36114
,Iowa,19,2021,2021,36835
Total,Iowa,19,,,148383
,Kansas,20,2018,2018,36261
,Kansas,20,2019,2019,35395
,Kansas,20,2020,2020,34376
,Kansas,20,2021,2021,34705
Total,Kansas,20,,,140737
,Kentucky,21,2018,2018,53922
,Kentucky,21,2019,2019,53069
,Kentucky,21,2020,2020,51668
,Kentucky,21,2021,2021,52214
Total,Kentucky,21,,,210873
,Louisiana,22,2018,2018,59615
,Louisiana,22,2019,2019,58941
,Louisiana,22,2020,2020,57328
,Louisiana,22,2021,2021,57437
Total,Louisiana,22,,,233321
,Maine,23,2018,2018,12311
,Maine,23,2019,2019,11779
,Maine,23,2020,2020,11539
,Maine,23,2021,2021,12006
Total,Maine,23,,,47635
,Maryland,24,2018,2018,71080
,Maryland,24,2019,2019,70178
,Maryland,24,2020,2020,68554
